Ticker
A
AAL
AAP
AAPL
AAPL
ABBV
ABC
ABMD
ABT
ACN
ADBE
ADBE
ADI
ADI
ADM
ADP
ADP
ADS
ADSK
ADSK
AEE
AEP
AES
AFL
AIG
AIV
AIZ
AJG
AKAM
ALB
ALGN
ALGN
ALK
ALL
ALLE
ALXN
ALXN
AMAT
AMAT
AMCR
AMD
AMD
AME
AMGN
AMGN
AMP
AMT
AMZN
AMZN
ANET
ANSS
ANSS
ANTM
AON
AOS
APA
APD
APH
APTV
ARE
ASML
ATO
ATVI
ATVI
AVB
AVGO
AVGO
AVY
AWK
AXP
AZO
BA
BAC
BAX
BBY
BDX
BEN
BF.B
BIDU
BIIB
BIIB
BK
BKNG
BKNG
BKR
BLK
BLL
BMRN
BMY
BR
BRK.B
BSX
BWA
BXP
C
CAG
CAH
CARR
CAT
CB
CBOE
CBRE
CCI
CCL
CDNS
CDNS
CDW
CDW
CE
CERN
CERN
CF
CFG
CHD
CHKP
CHRW
CHTR
CHTR
CI
CINF
CL
CLX
CMA
CMCSA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COG
COO
COP
COST
COST
COTY
CPB
CPRT
CPRT
CRM
CSCO
CSCO
CSGP
CSX
CSX
CTAS
CTAS
CTL
CTSH
CTSH
CTVA
CTXS
CTXS
CVS
CVX
CXO
D
DAL
DD
DE
DFS
DG
DGX
DHI
DHR
DIS
DISCA
DISCK
DISH
DLR
DLTR
DLTR
DOV
DOW
DPZ
DRE
DRI
DTE
DUK
DVA
DVN
DXC
DXCM
DXCM
EA
EA
EBAY
EBAY
ECL
ED
EFX
EIX
EL
EMN
EMR
EOG
EQIX
EQR
ES
ESS
ETFC
ETN
ETR
EVRG
EW
EXC
EXC
EXPD
EXPE
EXPE
EXR
F
FANG
FAST
FAST
FB
FB
FBHS
FCX
FDX
FE
FFIV
FIS
FISV
FISV
FITB
FLIR
FLS
FLT
FMC
FOX
FOX
FOXA
FOXA
FRC
FRT
FTI
FTNT
FTV
GD
GE
GILD
GILD
GIS
GL
GLW
GM
GOOG
GOOG
GOOGL
GOOGL
GPC
GPN
GPS
GRMN
GS
GWW
HAL
HAS
HBAN
HBI
HCA
HD
HES
HFC
HIG
HII
HLT
HOG
HOLX
HON
HP
HPE
HPQ
HRB
HRL
HSIC
HST
HSY
HUM
HWM
IBM
ICE
IDXX
IDXX
IEX
IFF
ILMN
ILMN
INCY
INCY
INFO
INTC
INTC
INTU
INTU
IP
IPG
IPGP
IQV
IR
IRM
ISRG
ISRG
IT
ITW
IVZ
J
JBHT
JCI
JD
JKHY
JNJ
JNPR
JPM
JWN
K
KEY
KEYS
KHC
KHC
KIM
KLAC
KLAC
KMB
KMI
KMX
KO
KR
KSS
KSU
L
LB
LBTYA
LBTYK
LDOS
LEG
LEN
LH
LHX
LIN
LKQ
LLY
LMT
LNC
LNT
LOW
LRCX
LRCX
LULU
LUV
LVS
LW
LYB
LYV
MA
MAA
MAR
MAR
MAS
MCD
MCHP
MCHP
MCK
MCO
MDLZ
MDLZ
MDT
MELI
MET
MGM
MHK
MKC
MKTX
MLM
MMC
MMM
MNST
MNST
MO
MOS
MPC
MRK
MRO
MS
MSCI
MSFT
MSFT
MSI
MTB
MTD
MU
MU
MXIM
MXIM
MYL
NBL
NCLH
NDAQ
NEE
NEM
NFLX
NFLX
NI
NKE
NLOK
NLSN
NOC
NOV
NOW
NRG
NSC
NTAP
NTAP
NTES
NTRS
NUE
NVDA
NVDA
NVR
NWL
NWS
NWSA
NXPI
O
ODFL
OKE
OMC
ORCL
ORLY
ORLY
OTIS
OXY
PAYC
PAYX
PAYX
PBCT
PCAR
PCAR
PEAK
PEG
PEP
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PKI
PLD
PM
PNC
PNR
PNW
PPG
PPL
PRGO
PRU
PSA
PSX
PVH
PWR
PXD
PYPL
PYPL
QCOM
QCOM
QRVO
RCL
RE
REG
REGN
REGN
RF
RHI
RJF
RL
RMD
ROK
ROL
ROP
ROST
ROST
